年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,塑膠製品機械操作人員,批發業,… ,… ,… ,… 
2019,縫製機械操作人員(含裁縫、刺繡),批發業,1137,30542,30542,— 
2019,包裝機械操作人員,批發業,2728,25235,24288,947
2019,組裝(現場)人員,批發業,2328,26235,24953,1282
2019,小客、貨車駕駛人員,批發業,45902,37331,34308,3023
2019,大客、貨車駕駛人員,批發業,12260,40879,40315,564
2019,推土、吊車、起重機等移運設備操作人員,批發業,3412,35857,35001,856
2019,基層技術工及勞力工,批發業,75223,30307,27890,2417
2019,清潔及家事工作人員(含建築清潔工),批發業,2770,24842,24836,6
2019,勞力工,批發業,21333,29865,29213,652
2019,理貨員,批發業,49147,30903,27562,3341
2019,廢棄物收集工及回收資源分類工,批發業,1709,25961,25961,— 
2019,廚房幫工(含速食烹調),批發業,264,40749,26600,14149
2019,主管及監督人員,零售業,92374,79174,64820,14354
2019,高階主管(總經理及總執行長),零售業,3286,169184,144464,24720
2019,中階主管(經理),零售業,17162,98865,89536,9329
2019,監督人員(含現場及辦公室主任、科/股長),零售業,71926,70363,55284,15079
2019,專業人員,零售業,17989,59594,49010,10584
2019,數學、精算及統計專業人員,零售業,… ,… ,… ,… 
2019,農、林、漁、牧業專業人員,零售業,— ,— ,— ,— 
2019,品管工程師,零售業,15,276128,66708,209420
2019,工管及生管工程師,零售業,— ,— ,— ,— 
2019,土木及水利工程師,零售業,… ,… ,… ,… 
2019,環境工程師,零售業,… ,… ,… ,… 
2019,機械工程師(含造船、輪機、鑄造),零售業,53,63180,63092,88
2019,食品工程師,零售業,— ,— ,— ,— 
2019,化工工程師,零售業,— ,— ,— ,— 
2019,醫療器材、醫學工程師,零售業,— ,— ,— ,— 
2019,光學工程師,零售業,— ,— ,— ,— 
2019,電機工程師,零售業,27,101136,55666,45470
2019,電子工程師,零售業,390,46663,46367,296
2019,電信工程師,零售業,… ,… ,… ,… 
2019,室內設計師,零售業,94,47565,35805,11760
2019,平面及多媒體設計師,零售業,1459,46136,43499,2637
2019,產品及服裝設計師(含工業設計),零售業,599,52847,49013,3834
2019,護理人員,零售業,49,49286,40505,8781
2019,獸醫師,零售業,— ,— ,— ,— 
2019,藥事人員(含藥師),零售業,6236,50077,40494,9583
2019,勞安及衛生管理人員(含工業安全管理師),零售業,58,73333,64233,9100
2019,營養師,零售業,— ,— ,— ,— 
2019,會(審)計師(含會計稽核),零售業,… ,… ,… ,… 
2019,財務、經濟及投資分析研究人員,零售業,34,65300,65300,— 
2019,專案管理師(含經營管理顧問),零售業,2160,64417,64365,52
2019,稽核人員,零售業,39,66132,65225,907
2019,人力資源管理師,零售業,321,65450,56832,8618
2019,廣告及行銷專業人員(含企劃),零售業,4932,71587,52673,18914
2019,公關專業人員,零售業,34,183260,56442,126818
2019,資訊系統分析及設計師,零售業,196,108847,60471,48376
2019,軟體開發及程式設計師,零售業,665,56635,53552,3083
2019,資料庫及網路專業人員,零售業,400,67710,54361,13349
2019,律師及相關專業人員,零售業,13,99759,99376,383
2019,專利工程師及公證人,零售業,— ,— ,— ,— 
2019,翻譯人員,零售業,… ,… ,… ,… 
2019,表演藝術人員(含演員、配音員),零售業,… ,… ,… ,… 
2019,電影、舞台及有關導演與製作人,零售業,… ,… ,… ,… 
2019,技術員及助理專業人員,零售業,50747,53518,41262,12256
2019,物理、化學及地球科學技術員,零售業,— ,— ,— ,— 
2019,營建工程技術員(含建築、土木、景觀、測量、水利),零售業,75,56455,52708,3747
2019,電機技術員,零售業,1151,47290,46178,1112
2019,電子技術員,零售業,2901,35046,35046,— 
2019,機械技術員(含造船、輪機、鑄造),零售業,1104,88776,40795,47981
2019,食品技術員,零售業,1503,36598,35890,708
2019,化工技術員,零售業,… ,… ,… ,… 
2019,品管技術員,零售業,1010,47028,41450,5578
2019,工管及生管技術員,零售業,— ,— ,— ,— 
2019,製圖員,零售業,… ,… ,… ,… 
2019,環境工程技術員,零售業,54,46478,35832,10646
2019,生命科學技術員,零售業,— ,— ,— ,— 
2019,農業技術及農業推廣人員,零售業,— ,— ,— ,— 
2019,醫學及病理檢驗人員,零售業,— ,— ,— ,— 
2019,配鏡、驗光技術員,零售業,3682,34306,31489,2817
2019,勞安及衛生技術員,零售業,172,57526,45573,11953
2019,其他醫療保健助理專業人員,零售業,675,30450,30439,11
2019,會計人員,零售業,332,84215,52630,31585
2019,統計及精算助理專業人員,零售業,— ,— ,— ,— 
2019,保險代理人,零售業,… ,… ,… ,… 
2019,工商業銷售代表(含業務員),零售業,27769,58165,42689,15476
2019,採購員,零售業,5317,54315,43493,10822
2019,報關員(含報驗、船務人員),零售業,38,43475,43475,— 
2019,會議及活動規劃人員,零售業,… ,… ,… ,… 
2019,拍賣員(不含電子購物、郵購),零售業,— ,— ,— ,— 
2019,專業秘書,零售業,838,61707,48569,13138
2019,法務人員,零售業,245,67038,49154,17884
2019,攝影師、攝影記者,零售業,… ,… ,… ,… 
2019,節目助理及舞台相關工作人員,零售業,… ,… ,… ,… 
2019,資訊管理及維護技術員,零售業,3000,44633,42472,2161
2019,事務支援人員,零售業,75364,37908,33519,4389
2019,總務,零售業,4604,34916,32483,2433
2019,一般辦公室事務人員(含文書),零售業,22525,36992,34405,2587
