年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,監督人員(含現場及辦公室主任、科/股長),其他個人服務業,2627,50426,49835,591
2019,專業人員,其他個人服務業,88,56195,55492,703
2019,電機工程師,其他個人服務業,8,63075,55665,7410
2019,電子工程師,其他個人服務業,— ,— ,— ,— 
2019,平面及多媒體設計師,其他個人服務業,… ,… ,… ,… 
2019,稽核人員,其他個人服務業,… ,… ,… ,… 
2019,廣告及行銷專業人員(含企劃),其他個人服務業,25,41251,41148,103
2019,公關專業人員,其他個人服務業,… ,… ,… ,… 
2019,軟體開發及程式設計師,其他個人服務業,20,79614,79614,— 
2019,資料庫及網路專業人員,其他個人服務業,… ,… ,… ,… 
2019,翻譯人員,其他個人服務業,… ,… ,… ,… 
2019,技術員及助理專業人員,其他個人服務業,556,37675,36672,1003
2019,營建工程技術員(含建築、土木、景觀、測量、水利),其他個人服務業,… ,… ,… ,… 
2019,電機技術員,其他個人服務業,— ,— ,— ,— 
2019,電子技術員,其他個人服務業,— ,— ,— ,— 
2019,冷凍空調技術員,其他個人服務業,— ,— ,— ,— 
2019,品管技術員,其他個人服務業,20,33899,33899,— 
2019,製圖員,其他個人服務業,… ,… ,… ,… 
2019,會計人員,其他個人服務業,36,50881,50868,13
2019,工商業銷售代表(含業務員),其他個人服務業,380,34742,33556,1186
2019,採購員,其他個人服務業,24,38022,38022,— 
2019,會議及活動規劃人員,其他個人服務業,… ,… ,… ,… 
2019,法務人員,其他個人服務業,… ,… ,… ,… 
2019,資訊管理及維護技術員,其他個人服務業,86,44459,43231,1228
2019,事務支援人員,其他個人服務業,4208,31891,31441,450
2019,總務,其他個人服務業,133,35301,35042,259
2019,一般辦公室事務人員(含文書),其他個人服務業,1180,31783,31277,506
2019,資料輸入人員,其他個人服務業,27,37726,31967,5759
2019,收帳、收費人員(含帳款催收),其他個人服務業,175,38762,38762,— 
2019,接待員及服務台事務人員,其他個人服務業,1595,30746,30115,631
2019,總機人員,其他個人服務業,22,31944,31082,862
2019,電話及網路客服人員,其他個人服務業,… ,… ,… ,… 
2019,會計助理、簿記、出納,其他個人服務業,961,31741,31691,50
2019,統計、財務、證券及保險事務人員,其他個人服務業,… ,… ,… ,… 
2019,存貨事務人員,其他個人服務業,33,31934,31602,332
2019,生產及物料規劃事務人員,其他個人服務業,… ,… ,… ,… 
2019,人事事務人員,其他個人服務業,68,34155,33871,284
2019,服務及銷售工作人員,其他個人服務業,12721,36335,31982,4353
2019,廚師,其他個人服務業,58,39573,39384,189
2019,餐飲服務人員,其他個人服務業,697,28329,28329,— 
2019,美髮、美容及造型設計人員,其他個人服務業,224,20512,20512,— 
2019,殯葬服務人員,其他個人服務業,5267,44685,34292,10393
2019,寵物美容師及動物照料工作人員,其他個人服務業,1032,28703,28432,271
2019,按摩師,其他個人服務業,5339,31292,31231,61
2019,商店銷售人員(含百貨公司樓管人員),其他個人服務業,7,29928,27548,2380
2019,收銀員及售票員,其他個人服務業,— ,— ,— ,— 
2019,展售說明人員,其他個人服務業,… ,… ,… ,… 
2019,電話及網路行銷人員,其他個人服務業,… ,… ,… ,… 
2019,建築物管理員、保全及警衛人員,其他個人服務業,56,34516,34516,— 
2019,技藝、機械設備操作及組裝人員,其他個人服務業,5619,28490,28086,404
2019,絕緣材料安裝人員,其他個人服務業,— ,— ,— ,— 
2019,空調及冷凍機械裝修人員,其他個人服務業,… ,… ,… ,… 
2019,油漆、噴漆人員(含裱糊工),其他個人服務業,— ,— ,— ,— 
2019,板金人員,其他個人服務業,— ,— ,— ,— 
2019,車輛維修人員(含自行車、機車、汽車、火車),其他個人服務業,— ,— ,— ,— 
2019,產業用機器維修人員,其他個人服務業,… ,… ,… ,… 
2019,各種材質手工藝人員,其他個人服務業,— ,— ,— ,— 
2019,電力機械裝修人員,其他個人服務業,7,35266,35266,— 
2019,資(通)訊設備裝修人員(含電信、電話),其他個人服務業,— ,— ,— ,— 
2019,電子設備裝修人員（不含資通訊設備）,其他個人服務業,— ,— ,— ,— 
2019,非食品飲料產品分級及檢查人員,其他個人服務業,… ,… ,… ,… 
2019,縫製機械操作人員(含裁縫、刺繡),其他個人服務業,11,29566,29566,— 
2019,洗滌工、熨燙工,其他個人服務業,5185,27332,26970,362
2019,小客、貨車駕駛人員,其他個人服務業,357,43597,43060,537
2019,大客、貨車駕駛人員,其他個人服務業,49,38850,35547,3303
2019,推土、吊車、起重機等移運設備操作人員,其他個人服務業,— ,— ,— ,— 
2019,基層技術工及勞力工,其他個人服務業,4079,27414,26385,1029
2019,清潔及家事工作人員(含建築清潔工),其他個人服務業,2260,25237,24907,330
2019,勞力工,其他個人服務業,1811,30120,28214,1906
2019,廚房幫工(含速食烹調),其他個人服務業,… ,… ,… ,… 
