年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),餐館,3097,34150,32319,1831
2019,木材處理、家具木工及有關工作人員,餐館,— ,— ,— ,— 
2019,縫製機械操作人員(含裁縫、刺繡),餐館,— ,— ,— ,— 
2019,洗滌工、熨燙工,餐館,— ,— ,— ,— 
2019,小客、貨車駕駛人員,餐館,56,37051,36438,613
2019,大客、貨車駕駛人員,餐館,… ,… ,… ,… 
2019,基層技術工及勞力工,餐館,37572,23285,22265,1020
2019,清潔及家事工作人員(含建築清潔工),餐館,2052,25576,25448,128
2019,勞力工,餐館,1326,25326,23949,1377
2019,廚房幫工(含速食烹調),餐館,34174,23066,22006,1060
2019,遊樂場所服務員,餐館,— ,— ,— ,— 
2019,行李搬運工,餐館,— ,— ,— ,— 
2019,收票員、引座員,餐館,— ,— ,— ,— 
2019,停車場管理工,餐館,… ,… ,… ,… 
2019,主管及監督人員,其他餐飲業,6356,75437,73418,2019
2019,高階主管(總經理及總執行長),其他餐飲業,347,157068,156730,338
2019,中階主管(經理),其他餐飲業,1103,107783,106428,1355
2019,監督人員(含現場及辦公室主任、科/股長),其他餐飲業,4906,62390,60104,2286
2019,專業人員,其他餐飲業,1507,61896,60753,1143
2019,機械工程師(含造船、輪機、鑄造),其他餐飲業,… ,… ,… ,… 
2019,食品工程師,其他餐飲業,763,65780,64360,1420
2019,電機工程師,其他餐飲業,— ,— ,— ,— 
2019,平面及多媒體設計師,其他餐飲業,— ,— ,— ,— 
2019,護理人員,其他餐飲業,54,44270,44270,— 
2019,勞安及衛生管理人員(含工業安全管理師),其他餐飲業,13,58487,58161,326
2019,營養師,其他餐飲業,168,40325,39987,338
2019,專案管理師(含經營管理顧問),其他餐飲業,— ,— ,— ,— 
2019,稽核人員,其他餐飲業,50,64360,62611,1749
2019,人力資源管理師,其他餐飲業,147,69552,69526,26
2019,廣告及行銷專業人員(含企劃),其他餐飲業,66,55137,55137,— 
2019,公關專業人員,其他餐飲業,… ,… ,… ,… 
2019,資訊系統分析及設計師,其他餐飲業,… ,… ,… ,… 
2019,軟體開發及程式設計師,其他餐飲業,133,63745,62577,1168
2019,資料庫及網路專業人員,其他餐飲業,— ,— ,— ,— 
2019,表演藝術人員(含演員、配音員),其他餐飲業,— ,— ,— ,— 
2019,技術員及助理專業人員,其他餐飲業,11957,48286,48242,44
2019,電機技術員,其他餐飲業,26,51641,51641,— 
2019,電子技術員,其他餐飲業,— ,— ,— ,— 
2019,冷凍空調技術員,其他餐飲業,— ,— ,— ,— 
2019,機械技術員(含造船、輪機、鑄造),其他餐飲業,41,53569,52585,984
2019,食品技術員,其他餐飲業,11098,48455,48455,— 
2019,勞安及衛生技術員,其他餐飲業,151,40430,40348,82
2019,會計人員,其他餐飲業,41,56023,53717,2306
2019,工商業銷售代表(含業務員),其他餐飲業,278,46804,46671,133
2019,採購員,其他餐飲業,273,43049,41842,1207
2019,會議及活動規劃人員,其他餐飲業,— ,— ,— ,— 
2019,專業秘書,其他餐飲業,11,75398,74051,1347
2019,運動、健身及休閒娛樂指導員,其他餐飲業,— ,— ,— ,— 
2019,節目助理及舞台相關工作人員,其他餐飲業,— ,— ,— ,— 
2019,資訊管理及維護技術員,其他餐飲業,38,54261,54254,7
2019,廣播及視聽技術員(含放映員),其他餐飲業,— ,— ,— ,— 
2019,事務支援人員,其他餐飲業,582,39858,39196,662
2019,總務,其他餐飲業,28,43770,43390,380
2019,一般辦公室事務人員(含文書),其他餐飲業,166,38158,36961,1197
2019,資料輸入人員,其他餐飲業,7,30193,30193,— 
2019,接待員及服務台事務人員,其他餐飲業,27,38027,37918,109
2019,總機人員,其他餐飲業,8,37847,37847,— 
2019,電話及網路客服人員,其他餐飲業,… ,… ,… ,… 
2019,會計助理、簿記、出納,其他餐飲業,223,38097,37773,324
2019,存貨事務人員,其他餐飲業,39,42895,41248,1647
2019,生產及物料規劃事務人員,其他餐飲業,13,48851,48672,179
2019,運輸事務人員(含稽查、調度、管理、航務),其他餐飲業,19,51467,50206,1261
2019,人事事務人員,其他餐飲業,49,44168,43962,206
2019,服務及銷售工作人員,其他餐飲業,46029,31632,31053,579
2019,隨車、船、飛機服務人員(含空服員),其他餐飲業,— ,— ,— ,— 
2019,廚師,其他餐飲業,5336,56503,55460,1043
2019,飲料調配及調酒員,其他餐飲業,24965,27979,27636,343
2019,餐飲服務人員,其他餐飲業,11579,28349,27334,1015
2019,旅館管家,其他餐飲業,— ,— ,— ,— 
2019,按摩師,其他餐飲業,— ,— ,— ,— 
2019,商店銷售人員(含百貨公司樓管人員),其他餐飲業,68,33064,32793,271
2019,收銀員及售票員,其他餐飲業,176,38811,38807,4
2019,餐食服務櫃台工作人員,其他餐飲業,3905,30398,30199,199
2019,建築物管理員、保全及警衛人員,其他餐飲業,— ,— ,— ,— 
2019,救生員,其他餐飲業,— ,— ,— ,— 
2019,技藝、機械設備操作及組裝人員,其他餐飲業,3177,42195,40501,1694
2019,園藝及農牧業生產人員,其他餐飲業,— ,— ,— ,— 
2019,營建木作人員,其他餐飲業,— ,— ,— ,— 
2019,空調及冷凍機械裝修人員,其他餐飲業,— ,— ,— ,— 
2019,油漆、噴漆人員(含裱糊工),其他餐飲業,— ,— ,— ,— 
2019,美編及印刷前置工作人員,其他餐飲業,— ,— ,— ,— 
2019,建築物電力系統裝修人員(含水電工),其他餐飲業,… ,… ,… ,… 
2019,電力機械裝修人員,其他餐飲業,— ,— ,— ,— 
2019,資(通)訊設備裝修人員(含電信、電話),其他餐飲業,— ,— ,— ,— 
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),其他餐飲業,2094,40037,38831,1206
2019,木材處理、家具木工及有關工作人員,其他餐飲業,— ,— ,— ,— 
2019,縫製機械操作人員(含裁縫、刺繡),其他餐飲業,— ,— ,— ,— 
2019,洗滌工、熨燙工,其他餐飲業,— ,— ,— ,— 
2019,小客、貨車駕駛人員,其他餐飲業,591,44454,43343,1111
2019,大客、貨車駕駛人員,其他餐飲業,475,48820,44192,4628
2019,基層技術工及勞力工,其他餐飲業,6105,28995,27997,998
2019,清潔及家事工作人員(含建築清潔工),其他餐飲業,305,30801,28289,2512
2019,勞力工,其他餐飲業,743,25745,24190,1555
2019,廚房幫工(含速食烹調),其他餐飲業,5057,29363,28539,824
2019,遊樂場所服務員,其他餐飲業,— ,— ,— ,— 
2019,行李搬運工,其他餐飲業,— ,— ,— ,— 
2019,收票員、引座員,其他餐飲業,— ,— ,— ,— 
2019,停車場管理工,其他餐飲業,— ,— ,— ,— 
